--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,PF,21,MIA,3,0,12,12.1,16.2,.750,0.0,0.0,,12.1,16.2,.750,4.0,16.2,.250,0.0,24.3,24.3,0.0,0.0,8.1,16.2,4.0,28.3,,56,99,achiupr01
2,Bam Adebayo,C,23,MIA,4,4,136,9.3,20.3,.456,0.0,0.0,,9.3,20.3,.456,3.6,4.6,.769,5.0,8.2,13.2,6.1,1.8,0.7,3.9,3.9,22.1,,100,115,adebaba01
3,Ty-Shon Alexander,SG,22,PHO,1,0,1,50.5,50.5,1.000,0.0,0.0,,50.5,50.5,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,,200,119,alexaty01
4,Grayson Allen,SG,25,MEM,5,0,116,5.0,13.7,.364,3.3,8.7,.381,1.7,5.0,.333,0.0,0.4,.000,1.2,4.2,5.4,0.4,0.8,0.4,0.4,5.4,13.3,,102,128,allengr01
5,Kyle Anderson,PF,27,MEM,5,5,142,6.1,14.3,.429,1.0,4.1,.250,5.1,10.2,.500,1.0,1.4,.750,1.4,7.1,8.5,5.4,4.8,0.0,1.4,3.1,14.3,,108,117,anderky01
6,Giannis Antetokounmpo,PF,26,MIL,21,21,800,15.5,27.2,.569,0.8,4.3,.186,14.7,22.9,.642,7.5,12.8,.587,3.7,13.0,16.7,6.7,1.3,1.5,4.0,3.8,39.3,,119,105,antetgi01
7,Thanasis Antetokounmpo,SF,28,MIL,13,0,45,2.2,7.7,.286,0.0,0.0,,2.2,7.7,.286,5.5,6.6,.833,3.3,7.7,11.0,3.3,5.5,2.2,3.3,13.2,9.9,,97,97,antetth01
8,Carmelo Anthony*,PF,36,POR,6,0,143,8.8,21.2,.417,4.9,13.1,.378,3.9,8.1,.478,3.5,3.9,.909,0.7,6.0,6.7,3.2,0.7,0.4,2.5,5.3,26.1,,111,125,anthoca01
9,Trevor Ariza,SF,35,MIA,4,4,96,3.5,11.6,.304,2.5,8.6,.294,1.0,3.0,.333,0.0,0.0,,1.0,10.6,11.6,1.0,1.5,0.5,1.5,5.6,9.6,,78,114,arizatr01
10,Deandre Ayton,C,22,PHO,22,22,801,9.7,14.8,.658,0.0,0.0,,9.7,14.8,.658,2.5,3.3,.736,4.2,12.2,16.4,1.6,1.1,1.5,1.8,4.0,21.9,,131,107,aytonde01
11,Udoka Azubuike,C,21,UTA,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,49.9,49.9,0.0,0.0,0.0,0.0,0.0,0.0,,,102,azubuud01
12,Desmond Bane,SG,22,MEM,5,0,99,5.4,9.3,.579,2.9,5.8,.500,2.4,3.4,.714,0.0,0.0,,1.0,7.3,8.3,4.9,1.9,1.0,1.5,2.9,13.6,,138,123,banede01
13,RJ Barrett,SG,20,NYK,5,5,162,8.2,21.2,.388,2.5,8.9,.286,5.7,12.3,.462,3.8,4.7,.800,1.3,10.1,11.4,4.7,1.3,0.6,0.6,3.5,22.8,,111,110,barrerj01
14,Will Barton,SF,30,DEN,3,1,83,11.4,25.8,.442,4.2,12.6,.333,7.2,13.2,.545,2.4,2.4,1.000,0.6,7.2,7.8,4.8,1.2,0.6,2.4,2.4,29.4,,109,123,bartowi01
15,Nicolas Batum,SF,32,LAC,19,10,555,4.9,10.2,.486,2.6,6.7,.389,2.3,3.4,.676,1.8,2.1,.826,1.8,8.0,9.8,3.6,2.2,0.9,0.6,2.4,14.3,,140,114,batumni01
16,Bradley Beal,SG,27,WAS,5,5,195,13.5,29.6,.455,1.7,7.7,.219,11.8,21.9,.538,7.5,8.7,.861,1.4,6.0,7.5,5.1,1.0,0.7,4.8,1.4,36.1,,103,122,bealbr01
17,Dāvis Bertāns,PF,28,WAS,4,2,106,4.9,12.0,.407,3.5,10.2,.348,1.3,1.8,.750,3.1,3.1,1.000,0.0,4.9,4.9,0.4,0.4,0.9,0.4,5.3,16.4,,124,123,bertada01
18,Patrick Beverley,PG,32,LAC,17,7,323,4.6,10.9,.426,2.1,5.9,.351,2.6,5.0,.516,1.9,2.2,.857,1.8,4.8,6.6,3.8,1.9,1.9,0.6,5.6,13.3,,127,115,beverpa01
19,Nemanja Bjelica,PF,32,MIA,2,0,30,8.1,17.8,.455,6.5,12.9,.500,1.6,4.9,.333,6.5,9.7,.667,1.6,6.5,8.1,3.2,3.2,1.6,0.0,8.1,29.1,,136,112,bjeline01
20,Keljin Blevins,SF,25,POR,2,0,4,12.6,25.3,.500,0.0,12.6,.000,12.6,12.6,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,25.3,,100,131,blevike01
21,Bogdan Bogdanović,SG,28,ATL,18,18,598,8.0,20.6,.390,3.9,11.9,.329,4.1,8.8,.472,1.0,1.4,.706,0.9,5.3,6.2,4.3,2.4,0.4,2.2,4.1,21.0,,99,111,bogdabo01
22,Bojan Bogdanović,SF,31,UTA,11,11,390,8.2,17.5,.467,4.5,9.7,.461,3.7,7.8,.475,4.6,5.2,.878,0.8,5.2,6.0,2.0,1.3,0.0,2.9,3.5,25.4,,119,124,bogdabo02
23,Bol Bol,PF,21,DEN,3,0,6,0.0,8.3,.000,0.0,8.3,.000,0.0,0.0,,0.0,0.0,,0.0,8.3,8.3,16.6,0.0,0.0,0.0,0.0,0.0,,95,126,bolbo01
24,Isaac Bonga,SF,21,WAS,4,0,10,0.0,23.5,.000,0.0,14.1,.000,0.0,9.4,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,,0,122,bongais01
25,Devin Booker,SG,24,PHO,22,22,889,12.0,26.9,.447,2.5,7.8,.321,9.5,19.1,.499,7.6,8.3,.905,0.9,6.2,7.0,5.7,1.0,0.2,4.6,4.3,34.1,,106,112,bookede01
26,Jarrell Brantley,PF,24,UTA,2,0,3,0.0,16.6,.000,0.0,0.0,,0.0,16.6,.000,16.6,33.2,.500,0.0,16.6,16.6,0.0,0.0,0.0,16.6,0.0,16.6,,37,121,brantja01
27,Mikal Bridges,SF,24,PHO,22,22,707,6.6,13.6,.484,2.5,6.8,.368,4.1,6.8,.600,1.8,2.0,.893,1.4,5.3,6.7,2.6,1.6,1.1,1.1,2.9,17.4,,120,111,bridgmi01
