,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Cleveland Cavaliers,26.5,5,4,.556,7,2,123.5,111.4,+12.1,96.7,.318,.467,.597,,.551,10.8,28.2,.259,,.561,14.2,79.5,.174
2,Oklahoma City Thunder,24.7,16,7,.696,17,6,115.4,107.0,+8.4,98.9,.290,.390,.566,,.522,10.9,25.6,.232,,.507,15.8,73.1,.228
3,Boston Celtics,29.9,6,5,.545,7,4,114.4,108.4,+6.0,91.5,.273,.474,.569,,.528,12.4,26.0,.218,,.491,11.4,72.3,.192
4,Minnesota Timberwolves,27.6,9,6,.600,9,6,114.6,111.8,+2.8,95.1,.256,.434,.574,,.539,14.1,28.9,.197,,.527,13.9,73.0,.219
5,Indiana Pacers,26.2,15,8,.652,13,10,115.3,113.3,+2.0,98.0,.292,.400,.599,,.562,13.1,20.5,.229,,.515,12.4,73.5,.265
6,Los Angeles Clippers,31.3,3,4,.429,4,3,115.6,115.0,+0.6,92.3,.231,.390,.581,,.557,11.4,23.8,.166,,.549,12.9,72.3,.166
7,Houston Rockets,25.2,3,4,.429,4,4,112.1,112.1,0.0,92.8,.347,.344,.548,,.510,12.5,31.5,.243,,.522,11.6,76.2,.155
8,New York Knicks,27.7,10,8,.556,9,9,113.3,113.3,0.0,95.6,.300,.366,.559,,.519,12.3,27.5,.228,,.530,12.8,75.1,.233
9,Detroit Pistons,26.7,2,4,.333,3,3,109.7,111.0,-1.3,97.3,.337,.379,.562,,.511,14.8,27.3,.268,,.512,11.7,75.5,.205
10,Golden State Warriors,29.0,5,7,.417,5,7,109.7,112.9,-3.2,93.9,.240,.453,.545,,.511,13.2,27.3,.184,,.534,14.3,70.5,.221
11,Denver Nuggets,27.3,7,7,.500,5,9,110.1,115.1,-5.0,95.7,.273,.396,.552,,.514,14.0,27.9,.208,,.537,10.5,75.6,.188
12,Los Angeles Lakers,29.0,1,4,.200,1,4,109.9,117.6,-7.7,91.3,.269,.492,.570,,.525,14.2,23.8,.223,,.510,10.3,69.3,.214
13,Milwaukee Bucks,28.1,1,4,.200,1,4,112.2,119.9,-7.7,96.2,.255,.433,.564,,.535,11.7,23.0,.185,,.581,10.3,83.4,.185
14,Orlando Magic,25.8,1,4,.200,1,4,103.0,117.1,-14.1,90.9,.244,.370,.501,,.470,11.0,25.4,.168,,.545,12.7,76.3,.274
15,Memphis Grizzlies,25.0,0,4,.000,0,4,99.4,118.7,-19.3,101.1,.236,.398,.525,,.476,16.7,23.6,.207,,.525,9.0,72.3,.204
16,Miami Heat,25.9,0,4,.000,0,4,104.2,137.4,-33.2,91.7,.163,.488,.547,,.529,15.5,23.3,.113,,.630,9.5,72.7,.213
,League Average,27.1,,,,5,5,113.1,113.1,,95.6,.278,.411,.566,,.528,12.8,25.9,.215,,.528,12.8,74.1,.215
