Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,9,240.0,40.9,87.8,.466,14.9,41.0,.363,26.0,46.8,.556,22.8,27.9,.817,12.3,32.3,44.7,22.9,8.9,3.6,12.1,18.6,119.4
2,Oklahoma City Thunder,23,241.1,41.0,89.8,.456,11.8,35.0,.338,29.2,54.8,.532,20.9,26.0,.801,11.4,32.1,43.6,23.0,10.7,5.7,12.3,21.5,114.7
3,Indiana Pacers,23,242.2,40.8,84.3,.484,13.2,33.7,.390,27.6,50.6,.546,19.3,24.7,.785,8.1,32.5,40.6,26.4,8.0,5.7,14.3,23.3,114.1
4,Milwaukee Bucks,5,245.0,39.8,87.8,.453,14.4,38.0,.379,25.4,49.8,.510,16.2,22.4,.723,10.4,33.2,43.6,23.8,6.0,3.6,13.0,19.6,110.2
5,New York Knicks,18,242.8,39.4,86.5,.455,11.1,31.7,.349,28.3,54.8,.517,19.7,25.9,.760,11.8,30.8,42.6,19.8,7.9,4.7,13.8,20.9,109.6
6,Minnesota Timberwolves,15,240.0,39.5,85.5,.462,13.3,37.1,.358,26.2,48.4,.541,16.9,21.9,.771,11.7,30.5,42.2,24.2,7.3,4.7,15.7,20.8,109.1
7,Los Angeles Clippers,7,243.6,41.1,84.6,.486,12.0,33.0,.364,29.1,51.6,.565,14.0,19.6,.715,10.0,29.4,39.4,26.0,8.0,7.1,12.0,19.3,108.3
8,Denver Nuggets,14,243.6,38.6,86.5,.446,11.9,34.3,.346,26.7,52.2,.512,18.0,23.6,.764,12.3,34.1,46.4,22.6,7.6,4.2,15.8,19.9,107.0
9,Detroit Pistons,6,240.0,37.2,82.7,.450,10.2,31.3,.324,27.0,51.3,.526,22.2,27.8,.796,11.0,32.8,43.8,20.0,7.2,6.3,16.5,22.8,106.7
10,Boston Celtics,11,242.3,36.7,83.0,.442,14.2,39.4,.360,22.5,43.6,.517,18.1,22.6,.799,10.8,32.3,43.1,20.0,6.7,5.4,13.2,19.5,105.7
11,Houston Rockets,7,240.0,36.7,82.3,.446,10.6,28.3,.374,26.1,54.0,.484,20.0,28.6,.700,13.4,33.4,46.9,19.6,7.9,5.1,13.6,17.7,104.0
12,Golden State Warriors,12,240.0,36.8,85.5,.431,13.7,38.8,.353,23.2,46.8,.496,15.8,20.5,.768,12.1,28.3,40.3,23.3,8.9,3.9,14.4,21.2,103.1
13,Memphis Grizzlies,4,240.0,36.0,86.8,.415,10.5,34.5,.304,25.5,52.3,.488,18.0,20.5,.878,10.3,34.0,44.3,20.5,5.8,6.5,19.3,20.8,100.5
14,Los Angeles Lakers,5,240.0,34.6,78.8,.439,13.6,38.8,.351,21.0,40.0,.525,17.6,21.2,.830,9.6,29.4,39.0,21.2,5.0,5.0,14.6,21.0,100.4
15,Miami Heat,4,240.0,36.3,81.5,.445,13.8,39.8,.346,22.5,41.8,.539,9.3,13.3,.698,10.0,27.3,37.3,21.3,4.5,3.0,16.0,17.3,95.5
16,Orlando Magic,5,240.0,35.6,84.4,.422,8.2,31.2,.263,27.4,53.2,.515,14.2,20.6,.689,11.4,28.4,39.8,18.6,6.4,3.8,11.6,21.4,93.6
,League Average,11,241.5,38.9,85.6,.455,12.4,35.2,.354,26.5,50.4,.526,18.4,23.8,.775,11.0,31.5,42.6,22.6,7.9,5.0,14.0,20.8,108.8
