Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers,16,3865,41.3,88.3,.468,6.6,17.1,.386,34.7,71.2,.487,22.4,33.1,.676,15.5,36.6,52.0,24.6,9.9,6.2,15.1,24.5,111.6
2,Charlotte Hornets,10,2400,38.3,88.1,.434,5.0,13.5,.367,33.3,74.6,.446,26.5,35.4,.748,14.9,33.7,48.6,22.2,9.7,5.2,13.7,23.6,108.0
3,Orlando Magic,4,985,40.9,94.2,.435,8.4,21.5,.390,32.5,72.7,.448,17.6,25.7,.684,14.2,31.8,45.9,23.1,8.4,6.6,11.8,27.8,107.9
4,Milwaukee Bucks,18,4345,39.4,90.8,.434,7.6,19.8,.383,31.9,71.0,.449,21.3,26.7,.800,14.5,36.0,50.4,24.7,6.6,7.7,14.6,26.9,107.8
5,Toronto Raptors,12,2880,40.6,91.5,.443,6.8,17.4,.392,33.7,74.1,.455,18.1,24.0,.756,13.7,30.9,44.6,25.8,9.0,7.0,15.6,24.6,106.0
6,Philadelphia 76ers,23,5545,39.0,92.5,.421,4.4,13.0,.336,34.6,79.5,.435,23.4,30.8,.761,16.2,34.0,50.2,22.8,9.2,5.6,14.2,23.6,105.7
7,Dallas Mavericks,10,2400,36.4,91.3,.399,6.9,19.4,.355,29.5,71.9,.410,24.5,28.9,.848,13.8,32.6,46.3,19.2,6.7,6.2,13.1,26.5,104.2
8,Utah Jazz,5,1200,38.2,90.1,.424,4.2,12.7,.327,34.1,77.4,.440,23.2,29.9,.775,14.6,34.1,48.6,26.9,6.0,6.0,14.1,31.0,103.8
9,San Antonio Spurs,13,3120,37.3,84.9,.439,6.2,17.0,.364,31.1,67.9,.458,21.5,30.0,.716,11.9,36.7,48.7,21.9,6.8,6.7,15.5,23.1,102.2
10,Sacramento Kings,8,1920,36.0,89.4,.403,5.2,14.8,.351,30.8,74.6,.413,24.3,29.8,.817,15.7,33.8,49.5,17.4,8.4,5.5,17.3,25.2,101.5
11,New York Knicks,5,1200,38.0,81.3,.468,4.6,13.4,.339,33.5,67.9,.493,20.7,26.6,.778,8.9,32.6,41.4,17.8,7.1,4.3,16.6,27.6,101.3
12,Indiana Pacers,4,960,37.7,94.6,.398,7.2,21.0,.342,30.5,73.6,.414,17.8,21.6,.827,13.5,32.2,45.7,23.9,5.5,5.2,14.4,27.0,100.3
13,Portland Trail Blazers,3,720,35.0,83.5,.419,5.8,22.2,.262,29.2,61.2,.476,21.5,28.4,.756,10.6,30.6,41.2,17.9,6.9,5.1,16.4,23.3,97.3
14,Minnesota Timberwolves,4,960,35.1,90.6,.387,3.4,11.4,.300,31.6,79.2,.399,20.0,24.5,.814,12.5,35.9,48.5,21.1,8.6,6.6,14.5,27.6,93.5
15,Phoenix Suns,4,960,35.4,93.2,.380,4.4,17.7,.250,31.0,75.5,.410,16.9,23.7,.714,14.1,32.0,46.1,22.1,10.2,6.0,14.3,24.5,92.2
16,Miami Heat,3,720,33.1,80.8,.410,6.0,18.6,.320,27.2,62.2,.437,15.3,21.6,.707,8.2,30.9,39.1,18.6,5.6,5.6,20.8,28.3,87.5
